id,name,category,subcategory,rating,soft_autumn_fit,is_staple,seasons,in_spring,in_summer,in_fall,in_winter,uses_spring,uses_summer,uses_fall,uses_winter,uses_total,themes,colors
IMG_0098,Heather gray Mama Bear sweatshirt,top,sweatshirt,2,poor,,winter,,,,yes,0,0,0,3,3,"cozy, playful, practical","heather gray, charcoal"
IMG_0172,Black speckled marled sweater,top,sweater,2,poor,,winter,,,,yes,0,0,0,2,2,"cozy, practical","black, light gray, white"
IMG_0096,Navy-and-white stripe long-sleeve tee,top,tee,2,poor,,winter,,,,yes,0,0,0,2,2,"practical, playful","white, navy"
IMG_0154,Black raglan crew sweatshirt,top,sweatshirt,2,poor,,(not in capsule),,,,,0,0,0,0,0,"practical, cozy",black
IMG_0105,Black sleeveless button blouse,top,blouse,2,poor,,(not in capsule),,,,,0,0,0,0,0,"polished, practical",black
IMG_0129,Black tie-waist tank maxi,dress,sleeveless maxi dress,2,poor,,(not in capsule),,,,,0,0,0,0,0,practical,black
IMG_0160,Charcoal gray striped scoop tank,top,tank top,2,fair,,(not in capsule),,,,,0,0,0,0,0,practical,"charcoal, heather gray"
IMG_0141,Charcoal heather tank,top,tank,2,poor,,(not in capsule),,,,,0,0,0,0,0,practical,charcoal
IMG_0138,Grey All of Life for Jesus tee,top,graphic tee,2,fair,,(not in capsule),,,,,0,0,0,0,0,"practical, playful","heather grey, charcoal"
IMG_0104,Heather blue muscle tank,top,tank,2,fair,,(not in capsule),,,,,0,0,0,0,0,"practical, playful","heather blue, navy"
IMG_0136,Heather grey MAMA raglan,top,long-sleeve tee,2,poor,,(not in capsule),,,,,0,0,0,0,0,"cozy, practical, playful","heather grey, white"
IMG_0140,Heather grey muscle tank,top,tank,2,fair,,(not in capsule),,,,,0,0,0,0,0,practical,heather grey
IMG_0106,Light heather gray tank,top,tank,2,fair,,(not in capsule),,,,,0,0,0,0,0,practical,heather gray
IMG_0107,Navy lace-panel sleeveless top,top,lace top,2,fair,,(not in capsule),,,,,0,0,0,0,0,"feminine, polished","navy, charcoal"
IMG_0121,Navy peach floral knit dress,dress,short-sleeve knit dress,2,good,,(not in capsule),,,,,0,0,0,0,0,"feminine, practical","navy, cream, peach, sage"
IMG_0123,Terracotta ditsy tank dress,dress,sleeveless tank dress,2,excellent,,(not in capsule),,,,,0,0,0,0,0,"feminine, practical","terracotta, white"
IMG_0174,White canvas slip-on sneakers,shoes,slip-on sneakers,2,fair,,(not in capsule),,,,,0,0,0,0,0,practical,white
IMG_0102,Black Arizona graphic tee,top,tee,1,poor,,(not in capsule),,,,,0,0,0,0,0,"practical, playful","black, white"
IMG_0137,Black crewneck sweatshirt,top,sweatshirt,1,poor,,(not in capsule),,,,,0,0,0,0,0,"cozy, practical",black
IMG_0108,Black long-sleeve satin tunic,top,tunic,1,poor,,(not in capsule),,,,,0,0,0,0,0,polished,black
IMG_0117,Black spaghetti-strap jumpsuit,jumpsuit,wide-leg jumpsuit,1,poor,,(not in capsule),,,,,0,0,0,0,0,practical,black
IMG_0139,Black tiered high-low tank,top,tank,1,poor,,(not in capsule),,,,,0,0,0,0,0,practical,black
IMG_0127,Heather grey jersey sheath dress,dress,long-sleeve knit dress,1,poor,,(not in capsule),,,,,0,0,0,0,0,practical,heather grey
IMG_0091,Metallic silver crinkle V-top,top,blouse,1,poor,,(not in capsule),,,,,0,0,0,0,0,polished,"silver, gray"
IMG_0134,Tomato-red Kampout 2023 tee,top,graphic tee,1,poor,,(not in capsule),,,,,0,0,0,0,0,playful,"tomato red, white, light blue-grey"
IMG_0148,GAP tan cream check flannel shirt,top,button-down shirt,0,excellent,,(not in capsule),,,,,0,0,0,0,0,"cozy, practical","tan, cream, beige"
IMG_0115,Navy peach floral wrap maxi (duplicate photo),dress,maxi dress — duplicate,0,good,,(duplicate photo),,,,,0,0,0,0,0,,"navy, peach, cream, coral, sage"
IMG_0156,Tomato red jersey maxi skirt,bottom,maxi skirt,0,fair,,(removed),,,,,0,0,0,0,0,,"tomato red, vermillion"
IMG_0114,Unidentifiable (motion blur),other,unusable photo,0,poor,,(not in capsule),,,,,0,0,0,0,0,,"tan, beige, brown"
IMG_0164,White DENIZEN shorts (duplicate photo),bottom,shorts — duplicate,0,good,,(duplicate photo),,,,,0,0,0,0,0,,"white, off-white, cream"
